source,sourceID,scientificName,year,latitude,longitude
GBIF,2005082544,Codium fragile subsp. tomentosoides (Goor) P.C.Silva,2000,41.663915,-69.987187
GBIF,2005082509,Codium fragile subsp. tomentosoides (Goor) P.C.Silva,2000,41.663915,-69.987187
GBIF,2005082486,Codium fragile subsp. tomentosoides (Goor) P.C.Silva,2000,41.663915,-69.987187
MHP,8092,Codium fragile subsp. tomentosoides,2000,41.663915,-69.987187
MHP,8096,Codium fragile subsp. tomentosoides,2000,41.663915,-69.987187
MHP,8097,Codium fragile subsp. tomentosoides,2000,41.663915,-69.987187
MHP,8098,Codium fragile subsp. tomentosoides,2000,41.663915,-69.987187
MHP,8102,Codium fragile subsp. tomentosoides,2000,41.663915,-69.987187
GBIF,2005082545,Codium fragile subsp. tomentosoides (Goor) P.C.Silva,1966,41.666637,-70.065766
MHP,8065,Codium fragile subsp. tomentosoides,1966,41.666637,-70.065766
GBIF,1989532302,Codium fragile subsp. tomentosoides (Goor) P.C.Silva,1962,41.676949,-69.979369
GBIF,1989443261,Codium fragile subsp. tomentosoides (Goor) P.C.Silva,1961,41.676949,-69.979369
GBIF,1989345143,Codium fragile subsp. tomentosoides (Goor) P.C.Silva,1962,41.676949,-69.979369
GBIF,1989206418,Codium fragile subsp. tomentosoides (Goor) P.C.Silva,,41.676949,-69.979369
MHP,549097,Codium fragile subsp. tomentosoides,1962,41.676949,-69.979369
MHP,549142,Codium fragile subsp. tomentosoides,1961,41.676949,-69.979369
MHP,549143,Codium fragile subsp. tomentosoides,1962,41.676949,-69.979369
MHP,549156,Codium fragile subsp. tomentosoides,,41.676949,-69.979369
GBIF,2005082480,Codium fragile subsp. tomentosoides (Goor) P.C.Silva,2000,41.67883,-70.132935
MHP,8088,Codium fragile subsp. tomentosoides,2000,41.67883,-70.132935
MHP,549139,Codium fragile subsp. tomentosoides,1966,41.679278,-70.024461
GBIF,2005082594,Codium fragile subsp. tomentosoides (Goor) P.C.Silva,2000,41.680135,-70.111513
MHP,8101,Codium fragile subsp. tomentosoides,2000,41.680135,-70.111513
OBIS,4cd14c4d-4da9-4048-901f-c5b2d733e2c6,Codium fragile subsp. fragile,2000,41.6868782,-71.39299774
GBIF,2005082488,Codium fragile subsp. tomentosoides (Goor) P.C.Silva,2000,41.688487,-71.393485
MHP,8122,Codium fragile subsp. tomentosoides,2000,41.688487,-71.393485
GBIF,2005082515,Codium fragile subsp. tomentosoides (Goor) P.C.Silva,2000,41.710625,-70.275831
GBIF,2005082489,Codium fragile subsp. tomentosoides (Goor) P.C.Silva,2000,41.710625,-70.275831
GBIF,2005082483,Codium fragile subsp. tomentosoides (Goor) P.C.Silva,2000,41.710625,-70.275831
GBIF,2005082479,Codium fragile subsp. tomentosoides (Goor) P.C.Silva,2003,41.710625,-70.275831
GBIF,2005082441,Codium fragile subsp. tomentosoides (Goor) P.C.Silva,1999,41.710625,-70.275831
GBIF,2005082374,Codium fragile subsp. tomentosoides (Goor) P.C.Silva,2003,41.710625,-70.275831
MHP,8050,Codium fragile subsp. tomentosoides,1999,41.710625,-70.275831
MHP,8086,Codium fragile subsp. tomentosoides,2003,41.710625,-70.275831
MHP,8087,Codium fragile subsp. tomentosoides,2003,41.710625,-70.275831
MHP,8089,Codium fragile subsp. tomentosoides,2000,41.710625,-70.275831
MHP,8090,Codium fragile subsp. tomentosoides,2000,41.710625,-70.275831
MHP,8091,Codium fragile subsp. tomentosoides,2000,41.710625,-70.275831
MHP,1061117,Codium fragile subsp. fragile,2018,41.737518,-70.62503
OBIS,50c80d38-adaf-4f74-8062-6a37d977595b,Codium fragile subsp. fragile,2003,41.7385788,-70.62622833
OBIS,5dd247ec-c4a8-45ce-b8da-c053d57a9046,Codium fragile subsp. fragile,2000,41.7385788,-70.62622833
OBIS,69280a39-7743-48cd-bcaf-08b2ba6d7ed8,Codium fragile subsp. fragile,2003,41.7385788,-70.62622833
OBIS,e2cb1a16-4986-4c5e-83fa-004327b79bb3,Codium fragile subsp. fragile,2007,41.7385788,-70.62622833
GBIF,2005082505,Codium fragile subsp. tomentosoides (Goor) P.C.Silva,2000,41.738895,-70.626665
GBIF,2005082405,Codium fragile subsp. tomentosoides (Goor) P.C.Silva,2003,41.738895,-70.626665
MHP,8042,Codium fragile subsp. tomentosoides,2003,41.738895,-70.626665
MHP,8108,Codium fragile subsp. tomentosoides,2000,41.738895,-70.626665
GBIF,2005087291,Codium fragile subsp. fragile,2010,41.73891,-70.626495
MHP,995337,Codium fragile subsp. fragile,2010,41.73891,-70.626495
MHP,1049202,Codium fragile subsp. fragile,1965,41.741658,-70.625404
OBIS,152b2938-0291-4a77-9e1a-427c480becfe,Codium fragile subsp. fragile,2000,41.74462128,-70.61769867
OBIS,51ca8776-818f-465a-8437-ea612eebf299,Codium fragile subsp. fragile,2000,41.74462128,-70.61769867
OBIS,e3cec5c5-128d-4e59-a67e-95e0286bb153,Codium fragile subsp. fragile,2000,41.74462128,-70.61769867
GBIF,2005082599,Codium fragile subsp. tomentosoides (Goor) P.C.Silva,2000,41.745027,-70.619026
GBIF,2005082522,Codium fragile subsp. tomentosoides (Goor) P.C.Silva,1966,41.745027,-70.619026
GBIF,2005082382,Codium fragile subsp. tomentosoides (Goor) P.C.Silva,1968,41.745027,-70.619026
MHP,8079,Codium fragile subsp. tomentosoides,1968,41.745027,-70.619026
MHP,8080,Codium fragile subsp. tomentosoides,1966,41.745027,-70.619026
MHP,8106,Codium fragile subsp. tomentosoides,2000,41.745027,-70.619026
GBIF,2005082499,Codium fragile subsp. tomentosoides (Goor) P.C.Silva,2000,41.756047,-70.127003
GBIF,2005082433,Codium fragile subsp. tomentosoides (Goor) P.C.Silva,2000,41.756047,-70.127003
MHP,8051,Codium fragile subsp. tomentosoides,2000,41.756047,-70.127003
MHP,8052,Codium fragile subsp. tomentosoides,2000,41.756047,-70.127003
MHP,94686,Codium fragile subsp. tomentosoides,1967,41.75889,-70.49444
MHP,595336,Codium fragile subsp. fragile,1982,41.769686,-70.484818
OBIS,af23bfb0-07e3-4fb5-bd5d-05def9677317,Codium fragile subsp. fragile,2007,41.77106857,-70.50237274
OBIS,3e65f2f6-ecea-429c-b6ff-06657521cd77,Codium fragile subsp. fragile,2007,41.79589844,-69.94689941
OBIS,91758705-6724-4d60-a940-59da0869c200,Codium fragile subsp. fragile,2008,41.79970169,-70.00779724
