codium_fragile,latitude,longitude
codium_fragile,41.67883,-70.132935
codium_fragile,41.67883,-70.132935
codium_fragile,41.679278,-70.024461
codium_fragile,41.680135,-70.111513
codium_fragile,41.680135,-70.111513
codium_fragile,41.6868782,-71.39299774
codium_fragile,41.688487,-71.393485
codium_fragile,41.688487,-71.393485
codium_fragile,41.710625,-70.275831
codium_fragile,41.710625,-70.275831
codium_fragile,41.710625,-70.275831
codium_fragile,41.710625,-70.275831
codium_fragile,41.710625,-70.275831
codium_fragile,41.710625,-70.275831
codium_fragile,41.710625,-70.275831
codium_fragile,41.710625,-70.275831
codium_fragile,41.710625,-70.275831
codium_fragile,41.710625,-70.275831
codium_fragile,41.710625,-70.275831
codium_fragile,41.710625,-70.275831
codium_fragile,41.737518,-70.62503
codium_fragile,41.7385788,-70.62622833
codium_fragile,41.7385788,-70.62622833
codium_fragile,41.7385788,-70.62622833
codium_fragile,41.7385788,-70.62622833
codium_fragile,41.738895,-70.626665
codium_fragile,41.738895,-70.626665
codium_fragile,41.738895,-70.626665
codium_fragile,41.738895,-70.626665
codium_fragile,41.73891,-70.626495
codium_fragile,41.73891,-70.626495
codium_fragile,41.741658,-70.625404
codium_fragile,41.74462128,-70.61769867
codium_fragile,41.74462128,-70.61769867
codium_fragile,41.74462128,-70.61769867
codium_fragile,41.745027,-70.619026
codium_fragile,41.745027,-70.619026
codium_fragile,41.745027,-70.619026
codium_fragile,41.745027,-70.619026
codium_fragile,41.745027,-70.619026
codium_fragile,41.745027,-70.619026
codium_fragile,41.756047,-70.127003
codium_fragile,41.756047,-70.127003
codium_fragile,41.756047,-70.127003
codium_fragile,41.756047,-70.127003
codium_fragile,41.75889,-70.49444
codium_fragile,41.769686,-70.484818
codium_fragile,41.77106857,-70.50237274
codium_fragile,41.79589844,-69.94689941
codium_fragile,41.79970169,-70.00779724
codium_fragile,41.80870056,-69.95290375
codium_fragile,41.80870056,-69.95290375
codium_fragile,41.80870056,-69.95290375
codium_fragile,41.80870056,-69.95290375
codium_fragile,41.80870056,-69.95290375
codium_fragile,41.80870056,-69.95290375
codium_fragile,41.80870056,-69.95290375
codium_fragile,41.80870056,-69.95290375
codium_fragile,41.80870056,-69.95290375
codium_fragile,41.80870056,-69.95290375
codium_fragile,41.80870056,-69.95290375
codium_fragile,41.80870056,-69.95290375
codium_fragile,41.80870056,-69.95290375
codium_fragile,41.80870056,-69.95290375
codium_fragile,41.80870056,-69.95290375
codium_fragile,41.817289,-70.00363
codium_fragile,41.817289,-70.00363
codium_fragile,41.817289,-70.00363
codium_fragile,41.817289,-70.00363
codium_fragile,41.817289,-70.00363
codium_fragile,41.817289,-70.00363
codium_fragile,41.817289,-70.00363
codium_fragile,41.817289,-70.00363
codium_fragile,41.817289,-70.00363
codium_fragile,41.817289,-70.00363
codium_fragile,41.817289,-70.00363
codium_fragile,41.817289,-70.00363
codium_fragile,41.8348999,-69.97260284
codium_fragile,41.8348999,-69.97260284
codium_fragile,41.8348999,-69.97260284
codium_fragile,41.8348999,-69.97260284
codium_fragile,41.8348999,-69.97260284
codium_fragile,41.8348999,-69.97260284
codium_fragile,41.8348999,-69.97260284
codium_fragile,41.8348999,-69.97260284
codium_fragile,41.8348999,-69.97260284
codium_fragile,41.8348999,-69.97260284
codium_fragile,41.8348999,-69.97260284
codium_fragile,41.8348999,-69.97260284
codium_fragile,41.8348999,-69.97260284
codium_fragile,41.8348999,-69.97260284
codium_fragile,41.8348999,-69.97260284
codium_fragile,41.8348999,-69.97260284
codium_fragile,41.8348999,-69.97260284
codium_fragile,41.8348999,-69.97260284
codium_fragile,41.8348999,-69.97260284
codium_fragile,41.8348999,-69.97260284
codium_fragile,41.8348999,-69.97260284
codium_fragile,41.8348999,-69.97260284
codium_fragile,41.8348999,-69.97260284
codium_fragile,41.8348999,-69.97260284
codium_fragile,41.8348999,-69.97260284
codium_fragile,41.84342,-69.946111
codium_fragile,41.84342,-69.946111
codium_fragile,41.84342,-69.946111
codium_fragile,41.84342,-69.946111
codium_fragile,41.904843,-70.004862
codium_fragile,41.904843,-70.004862
codium_fragile,41.910576,-70.024123
codium_fragile,41.910576,-70.024123
codium_fragile,41.910576,-70.024123
codium_fragile,41.910576,-70.024123
codium_fragile,41.910576,-70.024123
codium_fragile,41.910576,-70.024123
codium_fragile,41.945435,-70.57572
codium_fragile,41.945834,-70.575612
codium_fragile,41.990852,-70.640822
codium_fragile,42.005103,-70.599178
codium_fragile,42.005103,-70.599178
codium_fragile,42.035013,-70.160644
codium_fragile,42.035013,-70.160644
codium_fragile,42.086214,-70.641148
codium_fragile,42.086214,-70.641148
codium_fragile,42.175171,-70.73588
codium_fragile,42.175171,-70.73588
codium_fragile,42.241434,-70.78822
codium_fragile,42.241434,-70.78822
codium_fragile,42.241434,-70.78822
codium_fragile,42.241434,-70.78822
codium_fragile,42.241434,-70.78822
codium_fragile,42.241434,-70.78822
codium_fragile,42.241434,-70.78822
codium_fragile,42.241434,-70.78822
codium_fragile,42.282484,3.282671
codium_fragile,42.32180786,-70.9886322
codium_fragile,42.32180786,-70.9886322
codium_fragile,42.34325027,-71.03500366
codium_fragile,42.420889,-70.906416
codium_fragile,42.420889,-70.906416
codium_fragile,42.50040054,-70.83820343
codium_fragile,42.50040054,-70.83820343
codium_fragile,42.50040054,-70.83820343
codium_fragile,42.50040054,-70.83820343
